20170530T145716.594660 {"DistanceTravelled":0,"TimeAlive":50,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":46,"TotalTime":72,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.644660 {"DistanceTravelled":0,"TimeAlive":51,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":48,"TotalTime":74,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.695660 {"DistanceTravelled":0,"TimeAlive":52,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":49,"TotalTime":75,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.746660 {"DistanceTravelled":0,"TimeAlive":53,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":50,"TotalTime":76,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.814660 {"DistanceTravelled":0,"TimeAlive":54,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":51,"TotalTime":77,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.865660 {"DistanceTravelled":0,"TimeAlive":55,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":52,"TotalTime":78,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.916660 {"DistanceTravelled":0,"TimeAlive":56,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":53,"TotalTime":79,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.966660 {"DistanceTravelled":0,"TimeAlive":57,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":54,"TotalTime":80,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.034660 {"DistanceTravelled":0,"TimeAlive":58,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":55,"TotalTime":81,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.085660 {"DistanceTravelled":0,"TimeAlive":59,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":56,"TotalTime":82,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.137660 {"DistanceTravelled":0,"TimeAlive":60,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":57,"TotalTime":83,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.187660 {"DistanceTravelled":0,"TimeAlive":61,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":58,"TotalTime":84,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.239660 {"DistanceTravelled":0,"TimeAlive":62,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":59,"TotalTime":85,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.306660 {"DistanceTravelled":0,"TimeAlive":63,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":61,"TotalTime":87,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.356660 {"DistanceTravelled":0,"TimeAlive":64,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":62,"TotalTime":88,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.408660 {"DistanceTravelled":0,"TimeAlive":65,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":63,"TotalTime":89,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.459660 {"DistanceTravelled":0,"TimeAlive":66,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":64,"TotalTime":90,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.526660 {"DistanceTravelled":0,"TimeAlive":67,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":65,"TotalTime":91,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.577660 {"DistanceTravelled":0,"TimeAlive":68,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":66,"TotalTime":92,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.628660 {"DistanceTravelled":0,"TimeAlive":69,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":67,"TotalTime":93,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145717.679660 {"DistanceTravelled":0,"TimeAlive":70,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":68,"TotalTime":94,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
